hotel,url,ville_ok,latitude_hotel,longitude_hotel,description_hotel,scoring_hotel,id_ville,temp_today
Le Hüb - Grenoble,https://www.booking.com/hotel/fr/le-hub-grenoble.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4At7_jpcGwAIB0gIkYmMyZjQzNzQtOWU4Ni00OTIyLWE5ZGQtMGJlZTYzMDVjNDEw2AIF4AIB&sid=3957bdbb205c177aa4d4aec5cc86ad46&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=85444e7978980341&srepoch=1659092979&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Grenoble,45.192873,5.711917,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Hüb - Grenoble ! Connectez-vous pour économiser.Le Hüb - Grenoble vous accueille à 300 mètres du centre de congrès World Trade Center Grenoble. Il propose un salon commun, un restaurant, un bar et un jardin. Vous y bénéficierez d’une connexion Wi-Fi gratuite et d’un parking privé.Ses hébergements climatisés disposent d’une cuisine entièrement équipée avec coin repas, d’une télévision à écran plat ainsi que d’une salle de bains privative avec baignoire, sèche-cheveux et articles de toilette gratuits. Un micro-ondes, un réfrigérateur, une bouilloire et une machine à café sont également fournis.Cet appart'hôtel sert un petit-déjeuner buffet le matin.Vous disposerez aussi d'une terrasse sur place.Vous séjournerez à 2,7 km du stade des Alpes et à 5 km du parc événementiel AlpExpo. Enfin, l'aéroport de Grenoble-Isère, le plus proche, se trouve à 44 km du Hüb - Grenoble. ",8.3,3014727,11.86
Residhotel Le Central'Gare,https://www.booking.com/hotel/fr/residhotel-le-central-gare.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4At7_jpcGwAIB0gIkYmMyZjQzNzQtOWU4Ni00OTIyLWE5ZGQtMGJlZTYzMDVjNDEw2AIF4AIB&sid=3957bdbb205c177aa4d4aec5cc86ad46&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=85444e7978980341&srepoch=1659092979&from=searchresults#hotelTmpl,Grenoble,45.19085898,5.71572438,"Le Residhotel Le Central'Gare propose des hébergements indépendants avec une connexion Wi-Fi gratuite. Situé en face de la gare de Grenoble ainsi qu'à proximité de la place Grenette et de son atmosphère animée, l'établissement est très bien desservi par les transports en commun. Il possède une réception ouverte 24h/24 ainsi qu'une salle de réunion pouvant accueillir des réceptions ou des séminaires.Tous les logements du Residhotel Le Central'Gare sont équipés d'un micro-ondes, d'un réfrigérateur, d'une machine à café, de plaques de cuisson et d'une bouilloire. Ils disposent aussi de la climatisation, d'un coin salon et d'une télévision à écran plat.Le Residhotel Le Central'Gare sert un petit-déjeuner continental. Il se trouve à 10 minutes de marche du cœur de la ville, avec ses boutiques, ses musées et ses restaurants. Vous pourrez aussi vous y rendre en prenant le tramway à l'arrêt qui se situe juste devant l'hôtel.L'aéroport le plus proche, l'aéroport de Grenoble Isère, est à 35 km. Un nombre limité de places de parking est disponible sur réservation et moyennant des frais supplémentaires. ",7.7,3014727,11.86
Okko Hotels Grenoble Jardin Hoche,https://www.booking.com/hotel/fr/okko-hotels-grenoble-jardin-hoche.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4At7_jpcGwAIB0gIkYmMyZjQzNzQtOWU4Ni00OTIyLWE5ZGQtMGJlZTYzMDVjNDEw2AIF4AIB&sid=3957bdbb205c177aa4d4aec5cc86ad46&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=85444e7978980341&srepoch=1659092979&from=searchresults#hotelTmpl,Grenoble,45.18495018,5.72598981,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Okko Hotels Grenoble Jardin Hoche ! Connectez-vous pour économiser.Situé à Grenoble, à proximité immédiate du jardin Hoche, l’Okko Hotels Grenoble Jardin Hoche possède un sauna et une salle de sport. Cet hôtel design bénéficie d’une terrasse avec vue sur le parc Hoche, d’une réception ouverte 24h/24 et d’une connexion Wi-Fi gratuite.Les chambres comprennent toutes la climatisation, une télévision à écran plat, un bureau et une machine à café. Leur salle de bains privative est pourvue d’une douche, d’un sèche-cheveux et d’articles de toilette gratuits.Un petit-déjeuner buffet est servi chaque matin sur place. Des boissons sans alcool sont également proposées gratuitement toute la journée dans le salon. Le soir, vous pourrez profiter d'un buffet d'entrées avec des antipasti, des légumes frais, de délicieux dips et des produits de saison.L’Okko Hotels Grenoble Jardin Hoche possède un salon club et une bibliothèque. L’hôtel est situé à 500 mètres du parc Paul-Mistral, à 50 mètres du centre commercial La Caserne de Bonne et à 1,5 km de la gare ferroviaire de Grenoble. ",8.3,3014727,11.86
Le Vallier - Spacieux appartement - Garage/Clim,https://www.booking.com/hotel/fr/le-vallier-spacieux-appartement-garage-clim.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4At7_jpcGwAIB0gIkYmMyZjQzNzQtOWU4Ni00OTIyLWE5ZGQtMGJlZTYzMDVjNDEw2AIF4AIB&sid=3957bdbb205c177aa4d4aec5cc86ad46&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=85444e7978980341&srepoch=1659092979&from=searchresults#hotelTmpl,Grenoble,45.17929956,5.71579406,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Vallier - Spacieux appartement - Garage/Clim ! Connectez-vous pour économiser.Le Vallier - Spacieux appartement - Garage/Clim est situé à Grenoble, à 1,3 km du WTC Grenoble, à 3,1 km de l'AlpExpo et à 2,1 km du stade des Alpes. Vous bénéficierez gratuitement d'un parking privé et d'une connexion Wi-Fi.Cet appartement climatisé comprend 2 chambres, une télévision à écran plat et une cuisine.Vous séjournerez à proximité de la Caserne de Bonne, de l'école de gestion GEM de Grenoble et de la place Victor Hugo. L'aéroport de Grenoble-Isère, le plus proche, est implanté à 36 km. ",8.5,3014727,11.86
Tempologis Grenoble,https://www.booking.com/hotel/fr/tempologis-grenoble.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4At7_jpcGwAIB0gIkYmMyZjQzNzQtOWU4Ni00OTIyLWE5ZGQtMGJlZTYzMDVjNDEw2AIF4AIB&sid=3957bdbb205c177aa4d4aec5cc86ad46&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=85444e7978980341&srepoch=1659092979&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Grenoble,45.1792734,5.73433891,"Le Tempologis Grenoble est situé à Grenoble et propose des hébergements indépendants. Une connexion Wi-Fi est disponible gratuitement. L'établissement est à 1 km du parc Paul Mistral Park et à 2,5 km de la gare de Grenoble.Les appartements du Tempologis Grenoble disposent d'une télévision à écran plat, d'un balcon et d'un coin salon. La kitchenette est entièrement équipée et comprend un lave-vaisselle et un four micro-ondes. Les salles de bains privatives sont pourvues d'une douche, d'un sèche-cheveux et d'articles de toilette gratuits. Les chambres offrent une vue sur les montagnes et la ville.Le Tempologis Grenoble possède un jardin. Vous pourrez également bénéficier de livraisons d'épicerie, d'une buanderie et d'un distributeur automatique.L'aéroport de Grenoble-Isère se trouve à 43,1 km. ",8.2,3014727,11.86
Appartéa Grenoble Alpexpo,https://www.booking.com/hotel/fr/adagio-access-grenoble.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4At7_jpcGwAIB0gIkYmMyZjQzNzQtOWU4Ni00OTIyLWE5ZGQtMGJlZTYzMDVjNDEw2AIF4AIB&sid=3957bdbb205c177aa4d4aec5cc86ad46&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=85444e7978980341&srepoch=1659092979&from=searchresults#hotelTmpl,Grenoble,45.15999038,5.73111087,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Appartéa Grenoble Alpexpo ! Connectez-vous pour économiser.L'Appartéa Grenoble Alpexpo est situé à 400 mètres du parc des expositions SAEM Alpexpo, en face de l'arrêt de tramway Grand'Place. Il propose des studios et des appartements avec une connexion Internet gratuite.Tous les logements comprennent la climatisation et une télévision par câble, ainsi qu'une cuisine équipée d'un micro-ondes, d'une cuisinière et d'un réfrigérateur.Lors de votre séjour à l'Appartéa Grenoble Alpexpo, vous pourrez déguster chaque matin un petit-déjeuner buffet. De plus, vous bénéficierez d'un parking public sur place.Enfin, facilement accessible depuis les autoroutes A480 et A41, l'Appartéa Grenoble Alpexpo se trouve à 1 heure en voiture de nombreuses stations de ski. ",7.1,3014727,11.86
The Originals Residence KOSY appart'hôtels - Les Cèdres,https://www.booking.com/hotel/fr/adagio-city-aparthotel-grenoble-berthelot.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4At7_jpcGwAIB0gIkYmMyZjQzNzQtOWU4Ni00OTIyLWE5ZGQtMGJlZTYzMDVjNDEw2AIF4AIB&sid=3957bdbb205c177aa4d4aec5cc86ad46&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=85444e7978980341&srepoch=1659092979&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Grenoble,45.17894378,5.73206306,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement The Originals Residence KOSY appart'hôtels - Les Cèdres ! Connectez-vous pour économiser.Le KOSY Appart'hôtels est situé à Grenoble, à seulement 10 minutes à pied du centre-ville et à 31 km des pistes de ski de Chamrousse.Les studios et les appartements sont équipés d’une télévision par satellite, d’un micro-ondes, d’un lave-vaisselle, d’une machine à café et d’une connexion Wi-Fi gratuite.Vous séjournerez à côté de l’arrêt de tramway Mounier, directement accessible depuis la gare. ",7.4,3014727,11.86
Adagio Grenoble Centre,https://www.booking.com/hotel/fr/hipark.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4At7_jpcGwAIB0gIkYmMyZjQzNzQtOWU4Ni00OTIyLWE5ZGQtMGJlZTYzMDVjNDEw2AIF4AIB&sid=3957bdbb205c177aa4d4aec5cc86ad46&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=85444e7978980341&srepoch=1659092979&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Grenoble,45.18960902,5.7121785,"L’Adagio Grenoble Centre est situé dans le quartier des affaires Europole, à 5 minutes à pied de la gare TGV de Grenoble et à 10 minutes de marche du centre-ville. Cet établissement propose des studios et des suites, une connexion Wi-Fi gratuite, une salle de sport et un sauna.Tous les studios et suites, décorés dans un style contemporain, sont pourvus d'une télévision connectée et d'une cuisine entièrement équipée.L’Adagio Grenoble Centre sert un petit-déjeuner continental tous les jours et assure un panel complet de services de concierge.Ce logement se trouve à quelques pas de la vieille ville de Grenoble et de la cathédrale de Notre-Dame. L’autoroute A480, à 1,3 km, vous permettra d’explorer facilement la région Auvergne-Rhône-Alpes en voiture. ",7.4,3014727,11.86
Esprit Bistrot / Rent4night Grenoble,https://www.booking.com/hotel/fr/esprit-bistrot-rent4night-grenoble.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4At7_jpcGwAIB0gIkYmMyZjQzNzQtOWU4Ni00OTIyLWE5ZGQtMGJlZTYzMDVjNDEw2AIF4AIB&sid=3957bdbb205c177aa4d4aec5cc86ad46&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=85444e7978980341&srepoch=1659092979&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Grenoble,45.18543211,5.74399642,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Esprit Bistrot / Rent4night Grenoble ! Connectez-vous pour économiser.Offrant une vue sur le jardin, l'Esprit Bistrot / Rent4night Grenoble propose un hébergement avec une terrasse et une bouilloire, à environ 2,5 km du WTC Grenoble. Vous bénéficierez gratuitement d'un parking privé et d'une connexion Wi-Fi. La réception est ouverte 24h/24.Cet appartement climatisé comprend une cuisine, un coin salon, un coin repas et une télévision. Les serviettes et le linge de lit sont fournis.Vous pourrez profiter du jardin ou partir en randonnée dans les environs.Vous séjournerez à proximité du stade des Alpes, du parc Paul Mistral et de l'hôtel de ville de Grenoble. L'aéroport de Grenoble-Isère, le plus proche, est à 38 km. ",7.8,3014727,11.86
Residhome Grenoble Caserne De Bonne,https://www.booking.com/hotel/fr/residhome-prestige-grenoble-caserne-de-bonne.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4At7_jpcGwAIB0gIkYmMyZjQzNzQtOWU4Ni00OTIyLWE5ZGQtMGJlZTYzMDVjNDEw2AIF4AIB&sid=3957bdbb205c177aa4d4aec5cc86ad46&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=85444e7978980341&srepoch=1659092979&from=searchresults#hotelTmpl,Grenoble,45.18346987,5.72433829,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Residhome Grenoble Caserne De Bonne ! Connectez-vous pour économiser.Le Residhome Grenoble Caserne De Bonne est un établissement 4 étoiles situé à Grenoble, à seulement 10 minutes à pied du centre-ville. Il vous propose des hébergements dotés d’une connexion Wi-Fi gratuite et offrant une vue sur le Vercors et la chaîne de Belledonne.Ces appartements disposent d’une cuisine entièrement équipée et d’une salle de bains privative. Ils sont également pourvus d’une télévision à écran plat et d’un bureau.Lors de votre séjour, vous aurez accès au sauna et à la salle de sport. Le complexe hôtelier possède aussi un bar et une réception ouverte 24h/24. Par ailleurs, vous trouverez un centre commercial avec des boutiques et des restaurants à seulement 150 mètres.Le Residhome Grenoble Caserne De Bonne se trouve à 15 minutes de marche de la gare SNCF et à seulement 3 minutes à pied de l’arrêt de tramway le plus proche. ",7.8,3014727,11.86
