,ville1,longitudes_villes,latitudes_villes,ville2,id_ville,temp_today,temp_forecasts_5days,last_update
0,Mont Saint Michel,-1.511459954959514,48.6359541,Le Mont-Saint-Michel,3035639,21.39,21.39,2022-07-29 11:10:21.564045
1,St Malo,-2.0260409,48.649518,Saint-Malo,2978639,20.97,21.29,2022-07-29 11:10:21.564045
2,Bayeux,-0.7024738,49.2764624,Bayeux,3405940,25.35,27.14,2022-07-29 11:10:21.564045
3,Le Havre,0.1079732,49.4938975,Le Havre,3003796,24.51,24.51,2022-07-29 11:10:21.564045
4,Rouen,1.0939658,49.4404591,Rouen,2982652,26.43,26.42,2022-07-29 11:10:21.564045
5,Paris,2.3200410217200766,48.8588897,Paris,2988507,27.53,27.38,2022-07-29 11:10:21.564045
6,Amiens,2.2956951,49.8941708,Amiens,3037854,25.36,25.65,2022-07-29 11:10:21.564045
7,Lille,3.0635282,50.6365654,Lille,2998324,26.08,26.12,2022-07-29 11:10:21.564045
8,Strasbourg,7.7507127,48.584614,Strasbourg,2973783,27.03,26.89,2022-07-29 11:10:21.564045
9,Chateau du Haut Koenigsbourg,7.34429620253195,48.249489800000006,Orschwiller,2975232,24.85,22.19,2022-07-29 11:10:21.564045
10,Colmar,7.3579641,48.0777517,Colmar,3024297,25.22,25.17,2022-07-29 11:10:21.564045
11,Eguisheim,7.3079618,48.0447968,Eguisheim,3020324,25.01,25.11,2022-07-29 11:10:21.564045
12,Besancon,6.0243622,47.2380222,Besançon,3033122,25.44,27.35,2022-07-29 11:10:21.564045
13,Dijon,5.0414701,47.3215806,Dijon,3021372,25.83,25.78,2022-07-29 11:10:21.564045
14,Annecy,6.1288847,45.8992348,Annecy,6455254,19.02,19.02,2022-07-29 11:10:21.564045
15,Grenoble,5.7357819,45.1875602,Grenoble,3014727,11.86,19.84,2022-07-29 11:10:21.564045
16,Lyon,4.8320114,45.7578137,Lyon,2996943,24.08,23.38,2022-07-29 11:10:21.564045
17,Gorges du Verdon,6.3285616,43.7496562,La Palud-sur-Verdon,3036067,24.18,24.76,2022-07-29 11:10:21.564045
18,Bormes les Mimosas,6.3419285,43.1506968,Bormes-les-Mimosas,3031532,28.3,27.85,2022-07-29 11:10:21.564045
19,Cassis,5.5396318,43.2140359,Cassis,3028431,27.65,27.66,2022-07-29 11:10:21.564045
20,Marseille,5.3699525,43.2961743,Marseille,2995468,26.04,28.1,2022-07-29 11:10:21.564045
21,Aix en Provence,5.4474738,43.5298424,Aix-en-Provence,3038354,27.63,27.64,2022-07-29 11:10:21.564045
22,Avignon,4.8059012,43.9492493,Avignon,3035679,21.93,22.84,2022-07-29 11:10:21.564045
23,Uzes,4.4196718,44.0121279,Uzès,6431469,21.37,21.4,2022-07-29 11:10:21.564045
24,Nimes,4.3600687,43.8374249,Nimes,2990363,21.42,21.45,2022-07-29 11:10:21.564045
25,Aigues Mortes,4.1912837,43.5658225,Aigues-Mortes,6452244,23.35,23.31,2022-07-29 11:10:21.564045
26,Saintes Maries de la mer,4.4287172,43.4522771,Saintes-Maries-de-la-Mer,2980325,22.53,22.51,2022-07-29 11:10:21.564045
27,Collioure,3.0831554,42.52505,Collioure,3024314,29.0,28.99,2022-07-29 11:10:21.564045
28,Carcassonne,2.3491069,43.2130358,Carcassonne,3028640,18.9,18.85,2022-07-29 11:10:21.564045
29,Ariege,1.4065544156065486,42.9455368,Sentenac-de-Sérou,3036965,21.15,19.17,2022-07-29 11:10:21.564045
30,Toulouse,1.4442469,43.6044622,Toulouse,2972315,22.99,22.97,2022-07-29 11:10:21.564045
31,Montauban,1.3549991,44.0175835,Montauban,2993000,25.95,22.8,2022-07-29 11:10:21.564045
32,Biarritz,-1.552726590666314,43.471143749999996,Biarritz,3032797,22.74,22.61,2022-07-29 11:10:21.564045
33,Bayonne,-1.4736657,43.4945144,Bayonne,3034473,22.36,23.08,2022-07-29 11:10:21.564045
34,La Rochelle,-1.1520434,46.1591126,La Rochelle,3006787,22.98,23.01,2022-07-29 11:10:21.564045
