ville_ok,longitudes_villes,latitudes_villes,id_ville,temp_today,temp_forecasts_5days,last_update
Collioure,3.0831554,42.52505,3024314,29.0,28.99,2022-07-29 11:10:21.564045
Bormes-les-Mimosas,6.3419285,43.1506968,3031532,28.3,27.85,2022-07-29 11:10:21.564045
Cassis,5.5396318,43.2140359,3028431,27.65,27.66,2022-07-29 11:10:21.564045
Aix-en-Provence,5.4474738,43.5298424,3038354,27.63,27.64,2022-07-29 11:10:21.564045
Paris,2.3200410217200766,48.8588897,2988507,27.53,27.38,2022-07-29 11:10:21.564045
Strasbourg,7.7507127,48.584614,2973783,27.03,26.89,2022-07-29 11:10:21.564045
Rouen,1.0939658,49.4404591,2982652,26.43,26.42,2022-07-29 11:10:21.564045
Lille,3.0635282,50.6365654,2998324,26.08,26.12,2022-07-29 11:10:21.564045
Marseille,5.3699525,43.2961743,2995468,26.04,28.1,2022-07-29 11:10:21.564045
Montauban,1.3549991,44.0175835,2993000,25.95,22.8,2022-07-29 11:10:21.564045
Dijon,5.0414701,47.3215806,3021372,25.83,25.78,2022-07-29 11:10:21.564045
Besançon,6.0243622,47.2380222,3033122,25.44,27.35,2022-07-29 11:10:21.564045
Amiens,2.2956951,49.8941708,3037854,25.36,25.65,2022-07-29 11:10:21.564045
Bayeux,-0.7024738,49.2764624,3405940,25.35,27.14,2022-07-29 11:10:21.564045
Colmar,7.3579641,48.0777517,3024297,25.22,25.17,2022-07-29 11:10:21.564045
Eguisheim,7.3079618,48.0447968,3020324,25.01,25.11,2022-07-29 11:10:21.564045
Château du Haut-Kœnigsbourg,7.34429620253195,48.249489800000006,2975232,24.85,22.19,2022-07-29 11:10:21.564045
Le Havre,0.1079732,49.4938975,3003796,24.51,24.51,2022-07-29 11:10:21.564045
Gorges du Verdon,6.3285616,43.7496562,3036067,24.18,24.76,2022-07-29 11:10:21.564045
Lyon,4.8320114,45.7578137,2996943,24.08,23.38,2022-07-29 11:10:21.564045
Aigues-Mortes,4.1912837,43.5658225,6452244,23.35,23.31,2022-07-29 11:10:21.564045
Toulouse,1.4442469,43.6044622,2972315,22.99,22.97,2022-07-29 11:10:21.564045
La Rochelle,-1.1520434,46.1591126,3006787,22.98,23.01,2022-07-29 11:10:21.564045
Biarritz,-1.552726590666314,43.47114375,3032797,22.74,22.61,2022-07-29 11:10:21.564045
Les Saintes-Maries-de-la-Mer,4.4287172,43.4522771,2980325,22.53,22.51,2022-07-29 11:10:21.564045
Bayonne,-1.4736657,43.4945144,3034473,22.36,23.08,2022-07-29 11:10:21.564045
Avignon,4.8059012,43.9492493,3035679,21.93,22.84,2022-07-29 11:10:21.564045
Nîmes,4.3600687,43.8374249,2990363,21.42,21.45,2022-07-29 11:10:21.564045
Le Mont-Saint-Michel,-1.511459954959514,48.6359541,3035639,21.39,21.39,2022-07-29 11:10:21.564045
Uzès,4.4196718,44.0121279,6431469,21.37,21.4,2022-07-29 11:10:21.564045
Ariège,1.4065544156065486,42.9455368,3036965,21.15,19.17,2022-07-29 11:10:21.564045
Saint-Malo,-2.0260409,48.649518,2978639,20.97,21.29,2022-07-29 11:10:21.564045
Annecy,6.1288847,45.8992348,6455254,19.02,19.02,2022-07-29 11:10:21.564045
Carcassonne,2.3491069,43.2130358,3028640,18.9,18.85,2022-07-29 11:10:21.564045
Grenoble,5.7357819,45.1875602,3014727,11.86,19.84,2022-07-29 11:10:21.564045
